"time","mvi"
455,84.1031481030822
456,84.0861118739229
457,83.971754517969
458,84.1821843566568
459,84.1521748318479
460,84.2943431529641
461,84.3993950159193
462,84.3272275397224
463,84.6490635178835
464,84.8362235861084
465,84.9111331280492
466,84.9724889711685
467,85.3145207420275
468,85.6992786900052
469,86.0303644730542
470,86.2250655197324
471,86.2110716590171
472,86.303184326829
473,86.0668105525871
474,86.1124511910893
475,86.6908032419749
476,86.9529094304313
477,87.2251781352904
478,87.2270815361952
479,87.3202944379868
480,87.4383064481924
481,87.8184523770671
482,87.6591084267614
483,87.7335852505662
484,87.8840664376768
485,88.046483722671
486,88.713340304932
487,89.1907797321037
488,89.5613219603758
489,89.3779899791965
490,89.4524406212118
491,89.5323877830373
492,89.7465011635989
493,89.5719306644838
494,89.4732966875386
495,89.9610077196679
496,90.0546001821334
497,90.6021937128895
498,91.2626900941161
499,91.2636280843168
500,91.1497420512942
501,91.1624585626919
502,91.2104547582264
503,91.369856911269
504,91.1298225746774
505,91.1922870676484
506,91.228060868549
507,91.4104737251035
508,91.009161460137
509,91.296259707757
510,91.5719106752895
511,92.3294589951711
512,92.3886746631638
513,92.9988454231261
514,93.3824847712119
515,93.1536594635143
516,93.0947489744643
517,93.2954299496563
518,93.3148686968728
519,93.1789838736164
520,93.6828924169301
521,93.4832655087736
522,93.3381688498264
523,93.5200759872758
524,93.3788870813239
525,93.6876079260772
526,94.1378153376513
527,94.4193387162886
528,94.5597409734708
529,94.6092212483071
530,95.0140694221659
531,95.3496423450056
532,95.6145728384817
533,95.8933708313157
534,96.0772530330064
535,96.6107585990583
536,96.5984365905013
537,96.7888029099619
538,96.7631539346127
539,96.7660780287968
540,96.8793821243814
541,97.46037354857
542,98.2977877225122
543,98.4338062642903
544,98.5507389696375
545,98.284329054
546,98.2720848166066
547,98.1945415853338
548,98.9673699648295
549,99.344293634064
550,99.5474120183736
551,99.5305382931092
552,99.7183137077807
553,100.087921099461
554,99.9929390214695
555,99.8782617284136
556,99.4562867671156
557,100.115070091976
558,100.260881326931
559,100.458933635518
560,100.622908481372
561,100.69227986844
562,100.762401736648
563,101.512321082716
564,101.779408377696
565,102.13692749076
566,102.410869913444
567,102.592753442305
568,102.639934988896
569,102.779339001063
570,102.587567270976
571,102.800837806279
572,102.698225827347
573,102.61666020402
574,102.351259152487
575,102.734487704967
576,102.927514300481
577,103.304309078413
578,103.221231776043
579,103.559393435868
580,103.613665075256
581,104.119156483979
582,104.333579190206
583,104.557847150134
584,103.815127996089
585,103.451452846472
586,103.447916253363
587,103.976912620499
588,103.787178032078
589,103.934081414324
590,104.208740285238
591,104.624666591827
592,104.944762453548
593,105.270744209535
594,105.783427889208
595,106.435945555055
596,106.574029972379
597,106.422035913049
598,106.585091507764
599,107.347137300253
600,107.638786137155
601,107.703261738424
602,107.570680736897
603,107.747322304379
604,108.220068203311
605,108.614522088809
606,108.810090166515
607,109.282384492004
608,109.706801894847
609,109.999285896581
610,110.615655232655
611,110.660704665855
612,110.795891829926
613,111.679523930473
614,111.803955232492
615,111.901281265108
616,112.058701733852
617,112.931410174457
618,113.58175614739
619,114.424620317081
620,114.520383581766
621,114.907922160083
622,114.916706092938
623,114.773287962075
624,114.785243616763
625,114.804346611167
626,114.442138723481
627,115.066957292325
628,114.975467364306
629,115.271874262451
630,115.378241362577
631,115.922539741023
632,116.21929154226
633,115.923735440293
634,115.783305390735
635,116.142336379725
636,116.084195653297
637,116.382779131599
638,116.909006179063
639,116.909118094425
640,116.887087655385
641,116.835477049876
642,116.781106166559
643,116.494872326572
644,116.782773018433
645,117.028294762034
646,117.595513006676
647,117.456836126144
648,117.469539024713
649,117.855515203887
650,117.841231635522
651,118.989790269119
652,119.54451226775
653,119.75119153634
654,119.728652567089
655,119.383686179157
656,119.235123924435
657,119.470616030285
658,119.403754465701
659,119.547450268805
660,120.430764351466
661,120.604722423841
662,120.614486047588
663,120.521081392132
664,120.490466606573
665,120.967814630143
666,121.347623718451
667,121.908355617595
668,121.868947566631
669,122.157398538224
670,122.134443847964
671,122.271431023682
672,122.44856511036
673,122.261615071462
674,122.450630275173
675,122.326116227885
676,122.721488488141
677,122.640238904508
678,123.14914823654
679,123.8614664781
680,123.880689047707
681,124.43860892028
682,125.776021980936
683,126.530607883672
684,127.301193164145
685,127.916687164397
686,128.659729696987
687,128.60356672413
688,128.409875105109
689,128.558703959875
690,129.032679074008
691,129.739389817866
692,130.242076562784
693,130.673252996467
694,131.539125711964
695,131.835173846896
696,132.69813906592
697,132.812451984455
698,133.553830511537
699,133.943936664642
700,134.295565922293
701,134.195931215604
702,134.305433573242
703,134.467529400933
704,134.526695242936
705,135.190225654277
706,135.377118125973
707,135.340122217818
708,135.373186207178
709,135.1847471216
710,135.409307328899
711,135.755286662604
712,136.051828815122
713,136.346967491681
714,136.521123189389
715,137.59447544343
716,137.765324305436
717,138.147806071657
718,139.102504669573
719,139.544007780832
720,139.529871655839
721,139.636582890828
722,139.730116391395
723,140.150334854383
724,140.183241684443
725,140.88322307103
726,140.861286174252
727,141.072845262063
728,141.063297246444
729,141.529402888771
730,142.657436442534
731,143.042181097288
732,142.532327307901
733,142.951249892726
734,143.699122825877
735,145.183094907466
736,145.662484469399
737,145.768122980918
738,146.009619841881
739,146.889077960443
740,147.869616531484
741,148.24401657957
742,148.086117863579
743,149.078892096737
744,150.376533599887
745,150.52189413859
746,151.504247977801
747,151.976365742827
748,151.908849603627
749,152.943396972022
750,153.08308960971
751,153.499932464188
752,153.204220266969
753,154.222949099502
754,154.924462825984
755,155.510935439162
756,155.557800396464
757,155.729371233248
758,156.061751556791
759,156.551011870668
760,156.935733230591
761,157.332463317375
762,158.240084325349
763,158.306724096643
764,158.806262176499
765,159.536018003679
766,160.21134490854
767,160.143217426476
768,160.471496965232
769,161.074627782589
770,161.53559158329
771,161.967833540303
772,162.004781581132
773,162.444291556084
774,163.089459807687
775,162.98873496481
776,164.192970165213
777,165.439584002499
778,165.621429185963
779,165.616352855434
780,166.069143996391
781,166.73693517518
782,166.882032445138
783,166.928149930064
784,166.81142359488
785,167.572581884853
786,167.989068363092
787,168.6463594034
788,168.912975146213
789,169.133730512025
790,169.298492602217
791,169.377245592243
792,169.722034594131
793,169.772763849247
794,170.545587286413
795,170.964618404585
796,171.291056296003
797,171.37404270735
798,172.096191357059
799,171.891788909414
800,172.909088189394
801,173.234398432918
802,173.479285217033
803,173.7358004102
804,174.661625325721
805,175.002316656983
806,174.957412228734
807,175.140366414916
808,176.095754114847
809,176.071191416983
810,176.558412856116
811,176.932293371653
812,177.435020101858
813,177.45674267713
814,177.25767761767
815,177.179438818428
816,177.118957674263
817,177.783248556003
818,177.380210796594
819,178.800554411306
820,179.617054859747
821,179.881548786317
822,180.755395934961
823,180.762329715521
824,181.065233863361
825,181.490374179288
826,181.458114852542
827,181.812940869812
828,182.318774594941
829,182.998178652619
830,184.507749179879
831,185.316829281643
832,184.594068016476
833,185.342218560164
834,186.997310305624
835,187.884238596405
836,187.942114276001
837,188.472599351624
838,189.691246596162
839,190.701295437483
840,191.953338471497
841,193.2394101036
842,194.468980726721
843,195.101551522271
844,195.423525815196
845,196.489061237057
846,196.986157139265
847,197.868635101444
848,198.044708863903
849,198.658871556135
850,199.074726998438
851,199.174646329571
852,199.966224574668
853,200.368896385622
854,200.998970552799
855,201.01279762218
856,201.586473958647
857,201.409563960595
858,201.507044059192
859,201.828809012081
860,203.043396837382
861,203.500005733782
862,203.713347313907
863,204.041448512113
864,204.454691250379
865,204.979348460838
866,205.636291329832
867,206.657547033315
868,207.180711996763
869,208.404456820105
870,208.961035190031
871,209.017531802559
872,210.063575128816
873,210.702005046434
874,211.580066166418
875,211.926835350652
876,212.51101624034
877,213.30384565706
878,214.069508282619
879,214.674547117658
880,215.345901849745
881,215.417812332039
882,215.740166834087
883,215.969403003165
884,216.699127215918
885,217.301083437686
886,217.443350518085
887,217.256975253763
888,217.34257622076
889,217.836579376214
890,218.807345047932
891,218.927644801776
892,220.304880641366
893,221.299260644169
894,222.572263753323
895,224.271118505684
896,226.100884838902
897,226.991559673956
898,227.702295821806
899,228.597874286031
900,229.251207583823
901,230.899681720626
902,231.83148623617
903,233.53718584594
904,233.338174553937
905,233.357616636484
906,233.549993903968
907,234.207877920381
908,234.82178854935
909,236.537521396763
910,238.31241708529
